,category,sub_category,sub_sub_category,title,description,gender
9167,sports & outdoors,team shop,team clothing,Tuskegee Golden Tigers American Classic Pullover Hoodie - Gold,"Sure you can go around and tell everyone how dedicated you are to the Tuskegee Golden Tigers, but there is a much easier way to get your point across. Let everyone you pass know that you are a born and bred Tuskegee Golden Tigers fan with this American Classic hoodie! This hoodie boasts your team pride with Tuskegee Golden Tigers graphics. There are many ways to show your team spirit, but this way you won't lose your voice.",unisex
9168,,None,None,,Keep cool in this moisture-wicking V-neck tee from PUMA.    Featured in red     V-neck     Short sleeves     Embroidered PUMA cat logo on left chest     Inherent moisture management fabric     Polyester / cotton     Machine washable     Imported,None
9169,sports & outdoors,team shop,team clothing,Pro Line by Fanatics Branded Atlanta Falcons Youth Red Hometown Collection ATL T-Shirt,"Let your youngster cheer on the Atlanta Falcons with this Pro Line by Fanatics Branded Hometown Collection ATL T-shirt! No matter where he goes, he will wear this comfy Atlanta Falcons shirt with pride! The lightweight ribbed T-shirt is emblazoned with sweet Atlanta Falcons graphics across the front!",unisex
9170,sports & outdoors,team shop,team accessories,Men's Green Bay Packers '47 Heathered Gray Brain Freeze Cuffed Knit Hat,"Stay cozy with your Green Bay Packers passion in this Brain Freeze cuffed knit hat by '47. Featuring bold embroidered graphics and warm knit fabric, this hat will warm up your game day excitement.",None
9171,sports & outdoors,team shop,team clothing,Denver Nuggets UNK MVP Midtown Long Sleeve Thermal T-Shirt - Black,This UNK MVP Midtown long sleeve thermal T-shirt will instantly boost your Denver Nuggets pride the second you slip it on! The splendid print graphics on this shirt will bring Denver Nuggets glory where ever you go and it will make you the envy of the stands during your next trip to the arena. The thermal fabric of this T-shirt will keep you warm as you root for your Denver Nuggets as they chase after the league title.,unisex
9172,sports & outdoors,team shop,None,Houston Texans Wallet and Key Fob Set - Brown,"This wallet and key fob set is perfect for any Houston Texans supporter looking for a subtle way to flaunt his fandom. Thanks to the crisp team graphics on both pieces, there will never be any doubt about which squad he backs. He'll always have his Houston Texans pride on hand wherever he takes either of these leather accessories.",unisex
9173,sports & outdoors,team shop,team clothing,Autographed New York Yankees Michael Pineda Fanatics Authentic Majestic Replica Pinstripe Jersey,"This jersey has been personally hand-signed by Michael Pineda. It has been obtained under the auspices of the MLB Authentication Program and can be verified by its numbered hologram at MLB.com. It also comes with an individually numbered, tamper-evident hologram from Fanatics Authentic. To ensure authenticity, the hologram can be reviewed online. This process helps to ensure that the product purchased is authentic and eliminates any possibility of duplication or fraud.",unisex
9174,clothing,outerwear,vests,,,mens
9175,clothing,outerwear,quilted & puffers,S13 Men's Matte Downhill Quilted Down Puffer Jacket,,mens
9176,sports & outdoors,team shop,team clothing,Wake Forest Demon Deacons Antigua Golf Full-Zip Jacket - Charcoal,"Make sure everyone knows you're the greatest Wake Forest Demon Deacons fan around! This Antigua Golf jacket is just the Wake Forest Demon Deacons item to do it. This jacket will help keep you warm, so you can focus on the game instead of the weather.",unisex
9177,sports & outdoors,team shop,team accessories,San Francisco 49ers New Era Grayed Shore 9TWENTY Adjustable Hat - Graphite,"You're a die-hard San Francisco 49ers fan so even when they're not playing, you're wearing a piece of memorabilia to show your fandom. This San Francisco 49ers Grayed Shore 9TWENTY adjustable hat from New Era will only add to your amazing showing of loyalty. This cap features vivid graphics, so it'll send the point home that you live and breathe the San Francisco 49ers.",unisex
9178,clothing,tops,None,"ATM Anthony Thomas Melillo Jackie Knit Ballet Top, Black","""ATM knit ballet top. Approx. measurements: 25.1""""L center back to hem, 20.1""""L center front to hem. Wide round neckline. Three-quarter sleeves. Fitted silhouette. Straight hem. MicroModal rayon/spandex. Hand wash. Imported.""",womens
9179,shoes,sandals,espadrilles,"Andre Assous Gretta Leather Espadrille Wedge Sandal, Cuero","""Andre Assous leather espadrille sandal. 3"""" braided-jute wedge heel; 1"""" platform; 2"""" equiv. Strap bands open toe. Grip ankle strap. Padded footbed. Rubber outsole. """"Gretta"""" is made in Spain.""",unisex
9180,sports & outdoors,team shop,team clothing,Rutgers Newark Scarlet Raiders Women's White Proud Mascot Slim Fit Long Sleeve T-Shirt,"Get the perfect look to let everyone know you are a stylish Rutgers Newark Scarlet Raiders fan! With eye-catching graphics, this sweet Proud Mascot T-shirt will show everyone that you know how to display your spirit in style. With a comfy tee and that classic look you love, you'll be ready to head anywhere and know that you look your best.",unisex
9181,sports & outdoors,team shop,team clothing,Conor McGregor UFC Reebok Fighter Head T-Shirt - Black,"Show your passion for the UFC with this Reebok Conor McGregor Fighter Head T-shirt! Everyone will know who your favorite UFC fighter is when they see the bold, distressed graphics with metallic accents on this tee. It features comfy cotton and a tagless design to have you feeling great while you cheer for your favorite UFC fighter.",unisex
9182,clothing,outerwear,None,"3.1 Phillip Lim Cropped Surf Plaid Bomber Jacket, White/Midnight/Black","3.1 Phillip Lim bomber jacket in surf plaid. Laced belt through cropped hem. Baseball collar; two-way zip front. Long sleeves; banded cuffs. Relaxed, boxy silhouette. Rayon/linen. Silk lining. Imported of Italian material.",womens
9183,clothing,activewear,active tops,,,mens
9184,clothing,dresses,None,Hugo Boss Diabina Wool Belted Sheath Dress 4 Black,"Sheath Scalloped v-neck Removable belt Semi-sheer insert at V-neck Bust darts Concealed back zipper Central back vent Lined Length: 38.5 in (98 cm) Stretch virgin wool Sheer subtlety in a classic silhouette defines this Boss dress, made from luxurious virgin wool and precise stretch.",womens
9185,clothing,tops,None,"The Fifth Label On Your Mark Striped Tee, Olive","""The Fifth Label """"On Your Mark"""" tee in striped print. Round contrast neckline; cutway back. Short wide sleeves. Relaxed silhouette. Uneven hem. Pullover style. Cotton. Machine wash. Imported.""",womens
9186,clothing,sweaters,None,,Add some unique detail to your look with this duster cardigan from Karen Kane that features faux leather trim.    Featured in mushroom    V-neck    Long sleeves    Button front closure    Faux leather trim    Polyester / rayon / cotton    Imported,womens
9188,clothing,swimwear,cover-ups,Becca by Rebecca Virtue Cover Up Amore Black Kimono Size M/L,"Lace open front kimono with macrame threaded fringe.Lace open front kimono with macrame threaded fringe. Color Black, Color Family Black, Size M/L, Gender Female, Age Adult",womens
9189,kids & baby,baby,baby clothes,Ralph Lauren Baby's Striped Coverall,Preppy striped cotton coverall with contrasting twill collar  Twill collar  Long sleeves with ribbed cuffs  Button-front  Bottom snaps  Cotton  Machine wash  Imported   Please note: Number of buttons/snaps may vary depending on size ordered.,baby & toddler
9190,clothing,dresses,cocktail dresses,,Liven up your sophisticated look with this shimmering tiered skirt blouson dress from Laundry by Shelli Segal.    Featured in goldtone     Draped neckline     Sleeveless     Thin straps     Straight back     Blouson top     Tiered skirt     Hidden back zipper     Lined     Dry clean     Polyester / spandex     Imported,womens
9191,sports & outdoors,team shop,team clothing,Under Armour Penn State Nittany Lions Navy Logo Tech Performance T-Shirt,Hit the stands or the gym in style with this Under Armour Penn State Nittany Lions Logo Tech HeatGear T-shirt! This polyester Penn State Nittany Lions tee features HeatGear technology to transfer moisture away from your skin to keep you cool and dry whether you are cheering for your team or working toward a personal best on the treadmill. The vibrant Penn State Nittany Lions colors and graphics will give your outfit some team swagger that will have heads turning wherever you go.,unisex
9192,clothing,dresses,day dresses,,,womens
9193,,None,None,Women's NASCAR Black Home Tracks Logo Slim Fit T-Shirt,"Sure you can go around and tell everyone how much you love NASCAR, but there is a much easier way to get your point across. Let everyone you pass know that you are a born and bred NASCAR fan with this Series T-shirt! This tee boasts your pride with NASCAR graphics. There are many ways to show your spirit, but this way you won't lose your voice.",unisex
9194,sports & outdoors,team shop,team clothing,DePaul Blue Demons Women's Heritage V-Neck Tri-Blend T-Shirt - Royal,"Sure you can go around and tell everyone how dedicated you are to the DePaul Blue Demons, but there is a much easier way to get your point across. Let everyone you pass know that you are a born and bred DePaul Blue Demons fan with this Heritage T-shirt! This tee boasts your team pride with DePaul Blue Demons graphics. There are many ways to show your spirit, but this way you won't lose your voice.",unisex
9195,sports & outdoors,team shop,team clothing,Men's Edmonton Oilers Black Rinkside Pond Hockey Pullover Hoodie,"Show your Edmonton Oilers pride every time you wear this Pond Hockey hoodie. Featuring Edmonton Oilers graphics, this hoodie will keep you comfortable and full of team spirit.",unisex
9196,sports & outdoors,team shop,team clothing,ECSU Vikings Red Proud Mascot Long Sleeve T-Shirt,"Get the perfect look to let everyone know you are a stylish ECSU Vikings fan! With eye-catching graphics, this sweet Proud Mascot T-shirt will show everyone that you know how to display your spirit in style. With a comfy tee and that classic look you love, you'll be ready to head anywhere and know that you look your best.",unisex
9197,clothing,outerwear,None,Men's Cloud Cap Flex Rain Jacket,"""We called the original Cloud Cap """"The one wet-weather  waterproof shell for all-season outdoor adventures."""" Now we've upped the ante with this next-gen Flex version by adding stretch zones for full range of motion. The ultralight nylon shell features our 2.5-layer WeatherEdge technolgoy  and is fully seam sealed for complete waterproof/breathable protection. A StormRepel Super DWR finish sheds moisture and maintains an exceptionally high level of water repellency  even with heavy use and multiple home launderings. When not in use  the jacket packs into the right hand pocket.""",mens
9198,sports & outdoors,team shop,team clothing,Men's Philadelphia Flyers Black Camo Stack Tri-Blend T-Shirt,"Show your Philadelphia Flyers pride every time you wear this Camo Stack T-shirt. Featuring Philadelphia Flyers graphics, this tee will keep you comfortable and full of team spirit.",None
9199,sports & outdoors,team shop,team clothing,TrueTimber Martin Truex Jr Camo 1-Spot T-Shirt,Spruce up your array of tees with some bold Martin Truex Jr flair when you pick up this one-of-a-kind 1-Spot T-shirt from TrueTimber. The distinctive Martin Truex Jr graphics featured on this top create a fresh and exciting look that is certainly unlike anything else in your closet. You'll love showcasing your Martin Truex Jr pride in a stylish way with this awesome tee!,unisex
9200,sports & outdoors,team shop,team accessories,Carolina Panthers New Era Black On Black Low Profile 59FIFTY Fitted Hat,There's no gray area when it comes to displaying your Carolina Panthers fandom. Now you can illustrate your loyalty any time you want when you get this Carolina Panthers Low Profile 59FIFTY fitted hat from New Era. This awesome hat features a stunning embroidered Carolina Panthers logo on the crown. This extremely unique cap will show that you're a die-hard Carolina Panthers fan.,unisex
9201,,None,None,,,unisex
9202,sports & outdoors,team shop,team clothing,LSU Tigers Stadium Athletic Youth Stack II Hoodie - Purple,"Your kiddo is well on his way to becoming a loyal LSU Tigers fan, and it's all thanks to you. Your team spirit has been passed down and you love it, so make sure your kiddo displays his pride with this Stack II hoodie. Featuring LSU Tigers graphics, a hood without drawstrings and a front pouch pocket, this hoodie from Stadium Athletic is the perfect addition to his team collection.",unisex
9203,accessories,belts & buckles,None,TLC&you Stretch Beaded Belt,Comfortable stretch beaded belt.,womens
9204,accessories,handbags,tote handbags,Chloe Milo Medium Leather & Suede Tote Bag,"""Chloe leather and suede tote bag. Available in multiple colors. Golden hardware. Flat top handles. Open top with snap closure. Side zips expand bag. """"Milo"""" is made in Italy.""",womens
9205,,None,None,John Bartlett Consensus Men's Rugby Stripe Polo,"Featuring rugged rugby stripes, this John Bartlet Consensus men's polo is the perfect shirt for casual spring and summer days.    Cotton    Point collar    Two-button placket    Short sleeves    Machine washable    Imported",None
9206,sports & outdoors,team shop,team clothing,Majestic Washington Nationals Red Feel the Pressure T-Shirt,Add this Majestic Feel the Pressure T-shirt to your wardrobe to keep you looking stylish and feeling comfortable at the same time. The stunning Washington Nationals graphics are sure to catch some eyes whether you're watching the game or hanging out with friends. Its soft cotton material will keep you relaxed while you're reppin' the Washington Nationals!,unisex
9207,accessories,luggage & bags,luggage,"""Denco Sports Luggage NFL 20"""" Domestic Carry-On Spinner""",,unisex
9208,clothing,tops,None,,,plus size
9209,sports & outdoors,team shop,None,Kansas City Royals Trophy Ornament,Share your intense Kansas City Royals enthusiasm with your whole family this holiday season by hanging this remarkable Trophy ornament. This ornament will make your resolute Kansas City Royals fandom apparent to everyone who sees it!,unisex
9210,kids & baby,girls clothing,girls dresses,Ralph Lauren Girls 2-6X Pintucked Denim Shirtdress Sadie Wash 3T,,girls
9211,accessories,belts & buckles,None,W. Kleinberg Glazed Alligator Belt with Sterling Silver Buckle (Made to Order),"""w.kleinberg glazed alligator belt. """"Simple Rec"""" sterling silver buckle. Approx. 1 3/8""""W. Made in USA.""",mens
9212,sports & outdoors,team shop,team accessories,Los Angeles Dodgers '47 Base Line Fitted Hat - Royal,"As a devoted Los Angeles Dodgers fan, you love wearing anything and everything that deals with the team. When you put on this Los Angeles Dodgers Base Line fitted hat from '47, you'll show your enthusiasm can't be matched by anyone else. This hat features a circular Los Angeles Dodgers logo in beautiful raised embroidery and an embroidered cap logo on the back all in one of the team's colors. This hat will cement you being the #1 fan around all while inspiring the Los Angeles Dodgers to dominate.",unisex
9213,shoes,platform & wedge shoes,None,NIXIE 120,"Nixie is a clean vacchetta sandal which is essential for this summer season - its timeless, easy to wear and creates a laid-back chic vibe. Designed with a unique statement cork wedge, the Nixie creates a separate heel to platform and retains the comfort and stability associated with the traditional style wedge. The upper is simple yet modern and crafted with the highest quality vacchetta leather to mould a fashionable three piece mule shape. The contrast between the solid front piece and naked back counter creates a fabulous balance offering a fashionable element to this sandal. Finished with contrasting stitch detailing around the upper adds an interesting twist to this feminine shape. Made in Spain. Heel measures 120mm/4.7 inches with a 30mm/1.2 inch platform.",womens
9214,clothing,tops,t-shirts,AEO Soft & Sexy Favorite T-Shirt,"Soft & Sexy|Easy fit|Effortless and relaxed, this is your go-to everyday fit|V-neck|Raglan sleeves|Curved hem|95% Viscose, 5% Elastane|Machine Wash|Imported",womens
9215,clothing,outerwear,blazers,Tahari Arthur S. Levine Open Bottom Combo Topper Jacket,"""Streamlined open-front jacket in a muted shade  Roundneck  Hook-and-eye closure  Open front  Long sleeves  Polyester lining  About 30"""" from shoulder to hem  Polyester/rayon/elastane  Dry clean  Imported""",womens
9216,sports & outdoors,team shop,team clothing,Houston Texans Zone Blitz Double-Sided Pullover Hoodie - Gray,,unisex
9220,clothing,tops,sweatshirts,Carhartt Collinston Brushed Fleece Sherpa Lined Sweatshirt - Mens,"Products on Sale are Discontinued Styles or Colors.      FEATURES of the Carhartt Men's Collinston Brushed Fleece Sherpa Lined Sweatshirt   Brushed for extra softness  Sherpa lined  Attached sherpa-lined extended hood for extra warmth  Full-length antique nickel zipper  Two front hand-warmer pockets  Stretchable, spandex-reinforced rib-knit cuffs and waistband  Media port and loop lets you string earphones from pocket  Locker loop facilitates hanging  Carhartt label sewn on pocket",mens
9221,sports & outdoors,team shop,team clothing,CCM Alexander Steen St. Louis Blues Women's Blue Name & Number Tri-Blend V-Neck T-Shirt,Get the perfect look to let everyone know you are a true St. Louis Blues fan! This Reebok V-Neck Name and Number tee features a printed St. Louis Blues logo on the front and Alexander Steen name and number on the back. Let the world know where your team loyalties lie while looking great in this tee. FansEdge is your trusted source for all the latest St. Louis Blues gear.,unisex
9222,clothing,dresses,day dresses,Taylor Dresses Floral Scuba Dress,"Indulge in bright, beautiful colors with this floral printed scuba knit dress from Taylor Dresses that features two hand pockets and a fit and flare silhouette.    Featured in blue multi    Scoop neck    Sleeveless    Fit and flare silhouette    Pleated skirt    Allover floral print    Waist pockets    Exposed back zipper    Dry clean    Polyester / spandex    Imported",womens
9223,clothing,denim,None,"Peter Millar Stretch Five-Pocket Khaki Pants, Beige","""Peter Millar stretch woven khaki pants. Approx. 34"""" inseam. Five-pocket style; logo patch at back waist. Zip fly/button front; belt loops. Straight legs. Cotton/spandex. Imported.""",mens
9224,sports & outdoors,team shop,team clothing,Oklahoma Sooners Crimson 8-Bit Basketball Tri-Blend T-Shirt,"Get the perfect look to let everyone know you are a stylish Oklahoma Sooners fan! With eye-catching graphics, this sweet 8-Bit Basketball T-shirt will show everyone that you know how to display your spirit in style. With a comfy tee and that classic look you love, you'll be ready to head anywhere and know that you look your best.",unisex
9225,clothing,pants,dress pants,Lauren Ralph Lauren Houndstooth Straight-Leg Pants,"""Subtle houndstooth details a handsome straight-leg style   Banded waist with belt loops   Button, hook and zip-fly closure   Side slash pockets   Back welt pockets   Rise, about 11""""   Inseam, about 32""""   Leg circumference, about 16""""   Wool   Dry clean   Imported""",mens
9226,sports & outdoors,team shop,team clothing,adidas Deron Williams Brooklyn Nets Youth White Swingman Home Jersey,"Give your young one the perfect look to let everyone know he cheers for the Brooklyn Nets in this Swingman jersey from adidas. Featuring Brooklyn Nets details on the front and Deron Williams graphics on the back, everyone will wonder why he is in the stands and not on the court. Let him support his Brooklyn Nets from the court and beyond, when he wears this home jersey. FansEdge is your trusted source for all the latest Brooklyn Nets gear.",None
9227,clothing,outerwear,quilted & puffers,,"Exclusively ours! A classic look for cold weather, this faux fur trimmed anorak jacket from Breckenridge features a soft, warm style.    Featured in blackberry     Stand collar     Faux fur trimmed hood     Long sleeves     Zip front closure     Two waist pockets     Anorak waist accent     Polyester / nylon     Imported",womens
9228,clothing,denim,None,,"Exclusively ours! Have some casual fun in the warming weather with these denim cropped pants from Studio Works that feature a flattering, no gap waistband.    Cotton / spandex     Button and zip closure     Denim feel     Cropped length     Two front pockets     Imported",womens
9229,shoes,None,None,,"Your little lad will have no trouble getting ready for school when he has the Academie Gear Boys Dean Moc-toe Shoes in his collection. These leather shoes feature an eyelet lace-up front, a classic design and sturdy soles for his active play. Keeping him comfy throughout his day is simple when he wears these shoes.     Featured in black     4 eyelet lace-up     Moc toe     Leather upper     Imported",None
9230,accessories,jewelry,bracelets,Sapphire and Diamond Bangle in Sterling Silver,,None
9231,clothing,denim,None,,,womens
9232,,None,None,DIGITAL DROPS TANK,"Using the same best selling stretch fabric and fit as the Perfect Tank, the Digital Drops Tank is a novel update with beautiful mesh and embroidered detail. A versatile staple, the Digital Drops Tank pairs especially well with the Reversible Front Line Skirt.",womens
9233,sports & outdoors,team shop,team clothing,Cal State Monterey Bay Otters Ash Proud Mascot Pullover Hoodie,"You can't go wrong with a classic hoodie when you want to show off that Cal State Monterey Bay Otters team spirit in timeless style! This Proud Mascot hoodie features a sleek, eye-catching design that you'll wear with pride on game day!",unisex
9235,clothing,tops,sweatshirts,AEO Soft & Sexy Zip-Up Hoodie,"Soft & Sexy terry|Full zip front|Drawstring hood|Split kangaroo pocket|63% Rayon, 19% Cotton, 14% Polyester, 4% Spandex|Machine Wash|Imported",womens
9236,sports & outdoors,team shop,team clothing,New York Rangers Black Pond Hockey 2 Long Sleeve T-Shirt,"Get the perfect look to let everyone know you are a stylish New York Rangers fan! With eye-catching graphics, this sweet Pond Hockey T-shirt will show everyone that you know how to display your spirit in style. With a comfy tee and that classic look you love, you'll be ready to head anywhere and know that you look your best.",None
9237,accessories,jewelry,earrings,House Of Harlow 1960 Anza Bar Drop Earrings,"""Textured bars accented in pave stones  Goldtone  Drop, about 2""""  Postback  Imported""",unisex
9238,sports & outdoors,team shop,team clothing,Chicago Bulls Fanatics Branded Women's Personalized Backer Long Sleeve T-Shirt - Ash,"Sure you can go around and tell everyone how dedicated you are to the Chicago Bulls, but there is a much easier way to get your point across. Let everyone you pass know that you are a born and bred Chicago Bulls fan with this Fanatics Branded Personalized Backer T-shirt! This tee boasts your team pride with Chicago Bulls graphics. There are many ways to show your spirit, but this way you won't lose your voice.",unisex
9239,sports & outdoors,team shop,team clothing,Women's San Francisco 49ers John Lunsford Pro Line Scarlet Player Jersey,Get ready for game day with this John Lunsford San Francisco 49ers player jersey from Pro Line! The vibrant graphics on this jersey are sure to give you a spirit ready to stand up to any competition.,unisex
9240,sports & outdoors,team shop,team shoes,Florida State Seminoles (FSU) Infant Bootie Slipper - Garnet,"Keep your little ones' tootsies warm with plenty of team spirit in these bootie slippers. The top of these team-colored slippers boast embroidered FSU graphics, while the bottom features an anti-skid texture. They also have an adorable fur trim detail and comfortable padded insole. Even the tiniest of FSU fans wants to show off their love for the Seminoles.",None
9241,clothing,activewear,active pants,Girls' UA Catalyst Legging,"Soft jersey knit construction delivers superior stretch and comfort.  Signature Moisture Transport System wicks sweat to keep you dry and light.  Lightweight, 4-way stretch construction improves mobility and maintains shape.  Anti-microbial technology keeps your gear smelling fresher, longer.  Smooth flatlock seams prevent chafing.  Flat front waistband delivers superior coverage and a seamless silhouette.",girls
9242,sports & outdoors,team shop,team clothing,Colorado Rockies Purple Victory Arch T-Shirt,You like showing your incredible style and if you can throw in some Colorado Rockies spirit then you're all in. This Victory Arch T-shirt features awesome Colorado Rockies graphics so you can look great and stay comfortable while supporting your team. This tee is just what you've been looking for.,None
9243,,None,None,,"Exclusively ours! These mesh cropped pants from Exertek offer a comfortable, stretchy knit design.     Featured in black    Pull on design    Wide waistband    Flat interior seams    Cropped length    Cotton/spandex    Imported",unisex
9244,sports & outdoors,team shop,team clothing,Stadium Athletic Louisiana-Lafayette Ragin Cajuns Women's Red Arched Name Full-Zip Hoodie,"Get the perfect look while showing everyone you cheer for the Louisiana-Lafayette Ragin Cajuns. This Arched Name hoodie will help you look great while showing some incredible Louisiana-Lafayette Ragin Cajuns spirit. With two front pockets, a hood with drawstrings and Louisiana-Lafayette Ragin Cajuns graphics, this hoodie from Stadium Athletic will let everyone know that you're one stylish fan while the fleece lining keeps you warm and cozy.",None
9245,sports & outdoors,team shop,team clothing,Philadelphia Flyers Women's Rivalry Long Sleeve Hooded V-Neck T-Shirt - Black,"You love going to the Flyers games, and even though they have to play on ice, the arena is still a bit cold for your taste.  Bundle up while showing off your Philadelphia pride in this cool Rivalry hooded T-shirt.  It features the team name and logo in a distressed print on the front with an embroidered Flyers logo above the print. Its drawstring hood and front pouch pocket will keep you cool so you can cheer on Philadelphia all game long.",unisex
9246,sports & outdoors,team shop,team clothing,Anthony Rizzo Chicago Cubs Backer 2 T-Shirt - Heather Gray,Get in game mode with this Anthony Rizzo Chicago Cubs Backer T-shirt! Bold printed Chicago Cubs graphics show off your favorite team and player on the front and back of this tee. The comfortable cotton fabric used to construct this Chicago Cubs T-shirt will treat you right at home or in the stands.,None
9247,clothing,outerwear,quilted & puffers,,Create a sleek style with this anorak coat from Chaps that features a zip out vest.    Featured in black    Stand collar    Hooded shell    Long sleeves    Zip front closure    Zip out vest    Anorak waist    Two hand pockets    Polyester    Imported,womens
9248,shoes,pumps,None,"Prada Patent Mary Jane 65mm Pump, Nero","""Prada patent leather pump. 2.5"""" covered block heel. Square toe. Mary Jane strap. Smooth outsole. Made in Italy.""",womens
9249,,None,None,,"Get a bold, comfortable style with this lace back panty from Maidenform that features a comfort devotion design for a fantastic fit.    Nylon / elastane     Tanga panty     Elastic waistband     Elastic leg openings     Lace back design     Sheer rear coverage     Center back seam     Mid rise waist     Style no. 40159     Hand wash     Imported",None
9250,clothing,outerwear,raincoats,Marmot PreCip Jacket - Mens,"The Marmot Men's PreCip Jacket is a waterproof hiking jacket for exploring new trails. The PreCip is coated with NanoPro, Marmot's most breathable waterproof coating. It keeps you dry from the elements without the icky garbage bag feeling on the inside. When you get too hot, pop open the pit zips for quick ventilation. The jacket packs into its own pocket when not in use, so no reason not to bring it along with you, just in case. The hood adjusts for fit as well as rolls into the collar to stay out of the way on mild days. When zipped all the way to your chin, tuck into the DriClime Lined Chin Guard for soft, non-chafing warmth.    Products on Sale are Discontinued Styles or Colors.      FEATURES of the Marmot Men's PreCip Jacket   Marmotr NanoProT Waterproof/Breathable Fabric  100% Seam Taped  Attached Adjustable hood that Rolls Into Collar  DriClimer lined Chin Guard  PitZips  Pack Pockets  Stuffs Into Own Pocket  Adjustable Velcror Cuffs  Elastic Drawcord hem  Angel-Wing movementT  PreCip Dry Touch Technology  Full Visibility Roll-Up Hood with Integral Collar  Double Storm Flap Over Zipper with Snap / Velcro Closure  Designed to Fit Over Fleece or Softshells",mens
9251,accessories,socks & hosiery,socks,Men's Quarter Crew Sock 3-Pack,"Our multi-purpose quarter crew socks combine support and a comfortable fit for year-round performance. You can never have too many basic, reliable, comfy socks - we wear these to the office and out on adventures.",unisex
9252,sports & outdoors,team shop,team clothing,Hurley Premium Pocket Knit Tank - Neon Lime,"At the end of the end, only a magenta sky can take you away from those sick waves and salty shores. When it's time for something a bit more modest than your wetsuit, throw on this Premium Pocket knit scoop collar tank from Hurley. As nighttime hurries in, you'll still look fresh after a day's shred in this tank with its cool pocket featuring sublimated graphics.",None
9254,,None,None,Faux Suede Lace Up Leggings,"""Fabulous leggings in a super-soft faux suede. Sexy corset-look waist with lace-up detail. Slimming center front and back seaming. Exposed back zip closure with inside button security placket.. 90% Polyester, 10% spandex. Machine wash. Made in USA with imported materials. Rise: 11.5"""" (29 cm), inseam: 28"""" (71 cm), leg opening: 9.5"""" (24 cm). Model is 5'8"""" and wears a US size S""",unisex
9255,clothing,None,None,mock neck shift dress,"simplify, simplify: this shift is straightforward enough to work everywhere from the office to a dinner date, which is great because stylish details (such as the mock turtleneck and self-tying belt) and a super-flattering shape mean you'll never want to take it off.",womens
9256,clothing,tops,None,"Vince Relaxed Long-Sleeve Crewneck T-Shirt, Black/White Stripes",Vince T-shirt in striped Pima cotton. Crew neckline. Full cut through long sleeves. Dropped shoulders. Relaxed silhouette. Pullover style. Imported.,womens
9257,sports & outdoors,team shop,team clothing,Men's Arizona Cardinals Lamar Louis Pro Line Cardinal Player Jersey,Get ready for game day with this Lamar Louis Arizona Cardinals player jersey from Pro Line! The vibrant graphics on this jersey are sure to give you a spirit ready to stand up to any competition.,None
9258,clothing,sweaters,None,,"Exclusively ours! Keep warm while looking stylish this fall in our Studio Works knit cardigan, paired with a dress or pants and blouse.    Cotton / acrylic     Open front     Long sleeves     Metallic stitching     Imported",womens
9259,accessories,wallets & money clips,wallets,Kate Spade New York Dot Motif Zip-Around Wallet,Glossy saffiano leather characterized by contrast dots  Zip-around closure  Logo accent at front  Goldtone hardware  Single interior zip pocket  Sixteen interior card slots  Single interior slip pockets  Polyurethane  Spot clean  Imported,unisex
9260,accessories,belts & buckles,None,,,mens
9261,,None,None,"""GUESS """"Hadly"""" Women's Cold Weather Boots""",,None
9262,clothing,tops,dress shirts,,100% Cotton Mini Check Straight Collar Dress Shirt,mens
9263,kids & baby,girls clothing,"girls pants, skirts & shorts",,"Carter's girls' leggings are perfect for pairing with tops, tunics and dresses. These full length leggings will add a pop of color to any outfit and feature an elastic waist for a comfortable fit.     Featured in pink     Full length     Elastic waist     Cotton/poly/elastane     Imported",baby & toddler
9264,clothing,denim,None,skinny fit skinny leg performance stretch jeans,"Meet your new favorite jeans. A skinny fit sits close to the body for a sleek, pulled-together look. Performance stretch fabric keeps you comfortable, while light whiskering adds visual appeal to your casual outfits.",mens
9265,sports & outdoors,team shop,None,Tampa Bay Rays OYO Sports 40-Piece Practice Starter Set,"You or your favorite young fan can spend hours recreating the dynamic plays made by your Tampa Bay Rays with this OYO Sports 40-piece Practice Starter set! The three minifigures included in the set can pepper it up with two gloves, a ball and a bat on a sea of green. The minifigures come decked out in the colors and graphics of your Tampa Bay Rays.",unisex
9266,clothing,outerwear,None,The North Face ThermoBall Hoodie - Womens,"The North Face Women's ThermoBall Hoodie is a synthetic insulated jacket for staying warm in cold, wet winter conditions. Pack it, wear it, even pull a hardshell over top, whichever way you choose, this lightweight jacket is sure to impress. Some smart person said once that imitation is the sincerest form of flattery. I don't know who exactly it was, but when it comes to ThermoBall-#8482 powered by PrimaLoft-#174, this synthetic insulation certainly got the imitation part right. You see, it mimics down clusters, allowing you to compress the jacket down quite small as well as trap heat for warmth. Unlike down however, it even keeps you warm when wet, resisting moisture. How neat. An attached hood and a couple of zippered hand pockets provide the little touch of extra you need to stay cozy warm. So get outside in this ultralight phenom, staying warm whether you're hiking, skiing, camping, climbing or having other wintery outdoor fun.    Products on Sale are Discontinued Styles or Colors.      FEATURES of The North Face Women's ThermoBall Hoodie   15D nylon ripstop with ThermoBall insulation  ThermoBall insulation: 9.5 g/ft2 throughout the body, 13 g/ft2 in hood  Internal elastic cuff  Secure-zip hand pockets  Stowable in pocket  Hem cinch-cord",womens
