,category,sub_category,sub_sub_category,gender
7759,sports & outdoors,team shop,team clothing,unisex
7760,sports & outdoors,team shop,team accessories,unisex
7761,,None,None,None
7763,shoes,sneakers & athletic shoes,None,womens
7765,shoes,pumps,None,womens
7766,clothing,pants,None,mens
7767,clothing,sweaters,None,womens
7768,clothing,tops,dress shirts,mens
7769,clothing,outerwear,blazers,mens
7770,sports & outdoors,team shop,team clothing,unisex
7771,kids & baby,girls clothing,girls sleep & underwear,baby & toddler
7773,clothing,tops,dress shirts,mens
7774,clothing,activewear,active pants,womens
7775,accessories,hats,None,baby & toddler
7777,sports & outdoors,team shop,team clothing,None
7778,,None,None,unisex
7779,sports & outdoors,team shop,team clothing,unisex
7780,sports & outdoors,team shop,team clothing,unisex
7781,clothing,pants,None,womens
7783,shoes,sneakers & athletic shoes,None,mens
7786,clothing,outerwear,blazers,womens
7787,shoes,flats,ballet flats,womens
7788,sports & outdoors,team shop,team clothing,unisex
7789,,None,None,unisex
7790,,None,None,None
7792,sports & outdoors,team shop,team clothing,None
7793,,None,None,unisex
7794,sports & outdoors,team shop,team clothing,None
7795,clothing,tops,dress shirts,mens
7796,sports & outdoors,team shop,team clothing,unisex
7797,clothing,pants,dress pants,mens
7798,accessories,wallets & money clips,wallets,unisex
7799,,None,None,unisex
7800,accessories,luggage & bags,business bags,unisex
7801,clothing,pants,None,mens
7802,clothing,tops,None,womens
7803,accessories,handbags,tote handbags,unisex
7804,,None,None,unisex
7806,clothing,tops,dress shirts,mens
7807,accessories,handbags,tote handbags,unisex
7808,accessories,wallets & money clips,wallets,unisex
7809,sports & outdoors,team shop,team clothing,unisex
7810,kids & baby,boys clothing,boys shirts & tops,boys
7811,clothing,outerwear,blazers,mens
7812,clothing,outerwear,None,womens
7813,clothing,dresses,None,womens
7815,sports & outdoors,team shop,team clothing,unisex
7816,clothing,pants,None,womens
7818,sports & outdoors,team shop,None,unisex
7819,clothing,sweaters,None,plus size
7820,clothing,tops,None,mens
7821,kids & baby,girls clothing,None,baby & toddler
7823,sports & outdoors,team shop,team home & pet,None
7824,kids & baby,girls clothing,girls shirts & tops,girls
7825,sports & outdoors,team shop,team clothing,None
7826,,None,None,None
7827,kids & baby,girls clothing,girls shirts & tops,baby & toddler
7828,accessories,handbags,tote handbags,unisex
7830,sports & outdoors,team shop,team clothing,unisex
7831,sports & outdoors,adventure sports,bicycles & cycling gear,womens
7832,clothing,pants,None,mens
7833,sports & outdoors,team shop,team clothing,unisex
7834,clothing,pants,dress pants,mens
7835,sports & outdoors,team shop,team clothing,unisex
7836,sports & outdoors,team shop,team clothing,unisex
7837,sports & outdoors,team shop,team shoes,unisex
7838,sports & outdoors,team shop,team clothing,unisex
7839,,None,None,None
7840,sports & outdoors,team shop,team clothing,unisex
7841,clothing,pants,None,mens
7842,sports & outdoors,team shop,team clothing,unisex
7843,kids & baby,girls clothing,None,baby & toddler
7844,clothing,dresses,day dresses,womens
7845,sports & outdoors,team shop,team accessories,unisex
7847,kids & baby,girls clothing,girls shirts & tops,baby & toddler
7848,,None,None,mens
7849,,None,None,unisex
7850,clothing,dresses,None,womens
7851,clothing,underwear & intimates,bras,womens
7852,sports & outdoors,team shop,None,unisex
7853,sports & outdoors,team shop,team clothing,unisex
7855,sports & outdoors,team shop,team clothing,unisex
7857,kids & baby,boys clothing,boys pants & shorts,boys
7858,shoes,None,None,womens
7859,sports & outdoors,team shop,team clothing,unisex
7860,,None,None,None
7861,sports & outdoors,team shop,team clothing,None
7862,clothing,sleepwear & loungewear,None,womens
7864,clothing,denim,None,mens
7865,sports & outdoors,team shop,team accessories,unisex
7866,accessories,jewelry,bracelets,unisex
7868,,None,None,None
7869,accessories,neckties,None,mens
7870,clothing,pants,None,womens
7871,,None,None,None
7872,sports & outdoors,team shop,team clothing,unisex
7873,sports & outdoors,team shop,team clothing,unisex
7874,clothing,pants,None,mens
7875,health & beauty,health care,first aid,unisex
7876,shoes,sandals,None,womens
7877,sports & outdoors,team shop,team clothing,None
7878,sports & outdoors,team shop,team clothing,unisex
7879,clothing,tops,None,plus size
7880,kids & baby,boys clothing,boys shirts & tops,boys
7882,clothing,sweaters,None,mens
7883,shoes,boots,None,womens
7884,shoes,None,None,womens
7885,clothing,tops,dress shirts,mens
7886,sports & outdoors,team shop,team clothing,unisex
7887,,None,None,womens
7888,sports & outdoors,team shop,team clothing,unisex
7889,shoes,sandals,None,womens
7890,clothing,tops,None,womens
7892,sports & outdoors,team shop,team clothing,unisex
7893,,None,None,womens
7894,sports & outdoors,team shop,team accessories,unisex
7895,sports & outdoors,team shop,team clothing,None
7896,sports & outdoors,team shop,team clothing,unisex
7897,sports & outdoors,team shop,team accessories,unisex
7898,sports & outdoors,team shop,team accessories,None
7899,,None,None,unisex
7900,sports & outdoors,team shop,team clothing,unisex
7901,shoes,sandals,None,womens
7902,shoes,oxford shoes,None,womens
7903,,None,None,None
7904,clothing,dresses,cocktail dresses,womens
7906,sports & outdoors,team shop,team clothing,unisex
7907,clothing,denim,None,plus size
7908,,None,None,womens
7910,clothing,skirts,None,womens
7911,kids & baby,boys clothing,None,baby & toddler
7912,kids & baby,girls clothing,girls dresses,girls
7913,,None,None,unisex
7915,sports & outdoors,team shop,team kids & baby,None
7916,shoes,None,None,womens
7917,accessories,jewelry,rings,unisex
7918,clothing,sweaters,None,womens
7919,,None,None,None
7920,sports & outdoors,team shop,team clothing,unisex
7921,accessories,socks & hosiery,hosiery,unisex
7922,,None,None,None
7923,clothing,pants,leggings,womens
7924,sports & outdoors,team shop,team clothing,unisex
7925,clothing,pants,None,womens
7927,shoes,sneakers & athletic shoes,None,womens
7928,clothing,tops,None,mens
7929,sports & outdoors,team shop,team clothing,unisex
7930,shoes,sandals,None,womens
7931,kids & baby,boys clothing,boys shirts & tops,baby & toddler
7932,clothing,outerwear,vests,plus size
7933,sports & outdoors,team shop,team clothing,unisex
7934,sports & outdoors,team shop,team clothing,None
7937,sports & outdoors,team shop,team clothing,unisex
7938,sports & outdoors,team shop,team clothing,unisex
7939,clothing,None,None,womens
7940,,None,None,None
7941,clothing,tops,None,womens
7942,accessories,jewelry,necklaces,unisex
7943,sports & outdoors,team shop,team accessories,unisex
7944,accessories,jewelry,rings,unisex
7945,clothing,denim,cropped,womens
7947,clothing,tops,None,womens
7948,clothing,tops,None,womens
7949,clothing,tops,None,womens
7950,sports & outdoors,team shop,team shoes,unisex
7951,kids & baby,None,None,kids
7952,clothing,dresses,wear-to-work dresses,womens
7953,sports & outdoors,team shop,team clothing,unisex
7954,sports & outdoors,team shop,team clothing,unisex
7955,,None,None,unisex
7956,clothing,sweaters,None,womens
7957,sports & outdoors,team shop,team clothing,unisex
7958,shoes,pumps,None,womens
7959,clothing,dresses,cocktail dresses,womens
7961,shoes,boots,ankle boots,womens
7962,clothing,sweaters,None,womens
7963,sports & outdoors,team shop,None,unisex
7964,clothing,dresses,None,womens
7966,,None,None,None
7967,clothing,denim,None,womens
7968,sports & outdoors,team shop,team clothing,unisex
7969,health & beauty,health care,vitamins & supplements,None
7970,clothing,tops,None,mens
7973,kids & baby,boys clothing,boys shirts & tops,baby & toddler
7974,,None,None,None
7975,shoes,flats,None,womens
7976,,None,None,None
7977,shoes,pumps,None,womens
7978,clothing,dresses,day dresses,womens
7979,sports & outdoors,team shop,team clothing,unisex
7980,sports & outdoors,team shop,None,unisex
7981,,None,None,unisex
7982,sports & outdoors,team shop,team clothing,unisex
7983,sports & outdoors,team shop,team accessories,unisex
7984,sports & outdoors,team shop,team clothing,unisex
7985,sports & outdoors,team shop,team clothing,unisex
7986,sports & outdoors,team shop,team clothing,unisex
7987,sports & outdoors,team shop,team clothing,unisex
7988,shoes,sneakers & athletic shoes,None,womens
7989,clothing,swimwear,swimsuit tops,womens
7990,,None,None,unisex
7991,kids & baby,girls clothing,"girls pants, skirts & shorts",girls
7993,sports & outdoors,team shop,team clothing,None
7995,sports & outdoors,team shop,team clothing,None
7996,shoes,None,None,womens
7997,sports & outdoors,team shop,team clothing,unisex
7998,sports & outdoors,team shop,team clothing,unisex
7999,sports & outdoors,team shop,team clothing,unisex
8000,sports & outdoors,team shop,team clothing,unisex
8001,clothing,pants,dress pants,mens
8003,kids & baby,girls clothing,None,baby girls
8004,sports & outdoors,team shop,team clothing,unisex
8005,sports & outdoors,team shop,team clothing,None
8007,shoes,sneakers & athletic shoes,basketball shoes,mens
8008,sports & outdoors,team shop,team clothing,unisex
8010,sports & outdoors,team shop,team clothing,None
8011,sports & outdoors,team shop,team clothing,unisex
8012,clothing,outerwear,None,womens
8013,kids & baby,girls clothing,"girls pants, skirts & shorts",girls
8014,sports & outdoors,team shop,team clothing,unisex
8015,accessories,handbags,crossbody bags,None
8016,kids & baby,boys clothing,boys sweaters,boys
8017,,None,None,unisex
8018,clothing,tops,dress shirts,mens
8019,clothing,activewear,active tops,mens
8020,sports & outdoors,team shop,team accessories,unisex
8021,clothing,outerwear,quilted & puffers,womens
8022,sports & outdoors,team shop,team clothing,unisex
8023,,None,None,unisex
8024,kids & baby,boys clothing,boys shirts & tops,baby & toddler
8026,clothing,tops,dress shirts,mens
8027,sports & outdoors,team shop,team clothing,unisex
8028,sports & outdoors,team shop,team accessories,None
8029,clothing,pants,None,mens
8030,,None,None,None
8031,clothing,sweaters,None,womens
8032,,None,None,unisex
8033,clothing,sweaters,cardigans,womens
8034,sports & outdoors,team shop,team kids & baby,kids
8035,clothing,pants,None,womens
8036,,None,None,None
8037,accessories,jewelry,rings,unisex
8038,,None,None,unisex
8039,sports & outdoors,team shop,team clothing,None
8040,clothing,tops,blouses,womens
8041,sports & outdoors,team shop,team clothing,unisex
8042,sports & outdoors,team shop,team clothing,unisex
8043,kids & baby,baby,None,baby & toddler
8044,clothing,activewear,active pants,mens
8045,sports & outdoors,team shop,team clothing,unisex
8047,shoes,sandals,None,womens
8049,,None,None,None
8050,sports & outdoors,team shop,team clothing,unisex
8051,,None,None,None
8053,sports & outdoors,team shop,team clothing,None
8054,,None,None,mens
8056,sports & outdoors,team shop,team clothing,unisex
8060,sports & outdoors,team shop,team clothing,None
8061,,None,None,unisex
8062,clothing,tops,t-shirts,womens
8063,sports & outdoors,team shop,team clothing,unisex
8064,sports & outdoors,team shop,team clothing,unisex
8065,sports & outdoors,team shop,team clothing,unisex
8066,accessories,neckties,None,mens
8067,sports & outdoors,team shop,team accessories,unisex
8068,accessories,jewelry,necklaces,None
8069,sports & outdoors,team shop,team accessories,unisex
8070,,None,None,None
8071,accessories,watches,None,womens
8072,sports & outdoors,team shop,team clothing,unisex
8073,accessories,jewelry,earrings,unisex
8074,sports & outdoors,team shop,team clothing,unisex
8075,clothing,dresses,cocktail dresses,womens
8076,accessories,jewelry,bracelets,unisex
8077,clothing,denim,bootcut,womens
8078,sports & outdoors,team shop,team clothing,unisex
8079,clothing,shorts,None,mens
8080,sports & outdoors,team shop,team clothing,unisex
8082,sports & outdoors,team shop,team clothing,unisex
8083,clothing,underwear & intimates,underwear,mens
8084,clothing,tops,dress shirts,mens
8085,,None,None,unisex
8086,clothing,tops,dress shirts,mens
8087,sports & outdoors,team shop,team clothing,unisex
8088,sports & outdoors,team shop,team clothing,unisex
8089,sports & outdoors,team shop,team clothing,unisex
8090,,None,None,unisex
8091,shoes,sneakers & athletic shoes,None,womens
8092,home & pet,home decor,decorative accents,None
8093,accessories,jewelry,earrings,unisex
8094,sports & outdoors,team shop,team clothing,unisex
8095,clothing,dresses,None,womens
8096,sports & outdoors,team shop,team clothing,None
8097,sports & outdoors,team shop,team clothing,unisex
8098,accessories,wallets & money clips,wallets,unisex
8099,clothing,underwear & intimates,bras,womens
8100,clothing,skirts,None,womens
8101,,None,None,unisex
8102,sports & outdoors,team shop,team clothing,None
8103,,None,None,None
8104,clothing,dresses,wear-to-work dresses,womens
8105,sports & outdoors,team shop,team clothing,unisex
8106,clothing,tops,None,mens
8107,accessories,luggage & bags,luggage,unisex
8108,sports & outdoors,team shop,team clothing,unisex
8110,,None,None,unisex
8111,sports & outdoors,team shop,team accessories,unisex
8112,accessories,luggage & bags,luggage,unisex
8113,accessories,jewelry,charms & pendants,mens
8114,,None,None,None
8115,kids & baby,boys clothing,boys suits & separates,boys
8117,sports & outdoors,team shop,team clothing,unisex
8118,,None,None,None
8119,sports & outdoors,team shop,team clothing,None
8120,accessories,luggage & bags,backpacks,unisex
8121,,None,None,None
8122,sports & outdoors,team shop,team clothing,unisex
8123,sports & outdoors,team shop,team clothing,unisex
8124,,None,None,unisex
8125,,None,None,None
8126,sports & outdoors,team shop,team accessories,None
8127,sports & outdoors,team shop,team clothing,None
8128,,None,None,None
8129,clothing,shorts,None,womens
8130,,None,None,None
8131,clothing,tops,polo shirts,mens
8132,sports & outdoors,team shop,team clothing,unisex
8133,shoes,sneakers & athletic shoes,None,mens
8134,,None,None,unisex
8135,clothing,pants,None,womens
8136,sports & outdoors,team shop,team clothing,unisex
8137,clothing,None,None,mens
8138,,None,None,unisex
8139,sports & outdoors,team shop,team home & pet,None
8140,sports & outdoors,team shop,team clothing,unisex
8141,,None,None,None
8142,sports & outdoors,team shop,team clothing,unisex
8144,sports & outdoors,team shop,team clothing,unisex
8146,,None,None,None
8147,clothing,outerwear,None,mens
8148,kids & baby,boys clothing,boys swimwear,baby & toddler
8149,,None,None,womens
8151,sports & outdoors,team shop,team clothing,None
8152,,None,None,None
8153,shoes,None,None,baby & toddler
8154,sports & outdoors,team shop,team clothing,unisex
8155,clothing,None,None,womens
8156,,None,None,None
8157,,None,None,None
8158,clothing,tops,polo shirts,mens
8159,sports & outdoors,team shop,team kids & baby,unisex
8161,accessories,jewelry,earrings,unisex
8162,clothing,pants,None,plus size
8163,clothing,sweaters,None,womens
8164,kids & baby,girls clothing,girls sleep & underwear,girls
8165,clothing,tops,dress shirts,mens
8166,sports & outdoors,team shop,team accessories,unisex
8167,clothing,dresses,cocktail dresses,womens
8168,sports & outdoors,team shop,team clothing,unisex
8169,,None,None,unisex
8170,accessories,luggage & bags,business bags,unisex
8171,accessories,scarves & shawls,None,unisex
8172,clothing,underwear & intimates,underwear,womens
8173,,None,None,womens
8174,clothing,sweaters,None,womens
8175,clothing,suits,suit separates,mens
8176,,None,None,None
8177,sports & outdoors,team shop,team clothing,unisex
8178,sports & outdoors,team shop,team clothing,unisex
8179,clothing,maternity clothing,maternity shirts & tops,womens
8181,sports & outdoors,team shop,team clothing,unisex
8182,sports & outdoors,team shop,team shoes,unisex
8183,sports & outdoors,team shop,team clothing,unisex
8184,clothing,tops,sweatshirts,womens
8185,sports & outdoors,team shop,team clothing,unisex
8186,shoes,boots,None,mens
8187,clothing,underwear & intimates,shapewear,womens
8188,clothing,activewear,None,womens
8189,clothing,tops,None,plus size
8191,shoes,boots,None,mens
8193,sports & outdoors,team shop,team clothing,unisex
8195,clothing,tops,blouses,womens
8196,sports & outdoors,team shop,team clothing,unisex
8197,accessories,luggage & bags,luggage,None
8199,clothing,tops,None,mens
8200,,None,None,None
8201,sports & outdoors,team shop,team accessories,unisex
8202,clothing,tops,None,plus size
8203,sports & outdoors,team shop,team clothing,unisex
8204,clothing,underwear & intimates,bras,womens
8205,sports & outdoors,team shop,team clothing,unisex
8206,,None,None,unisex
8207,,None,None,None
8208,,None,None,None
8209,sports & outdoors,team shop,team clothing,unisex
8210,sports & outdoors,team shop,team clothing,unisex
8211,,None,None,unisex
8212,,None,None,None
8213,sports & outdoors,team shop,team clothing,unisex
8215,,None,None,None
8216,sports & outdoors,team shop,team clothing,unisex
8217,sports & outdoors,team shop,None,unisex
8218,clothing,outerwear,None,womens
8220,clothing,sweaters,cardigans,womens
8221,clothing,underwear & intimates,underwear,mens
8222,,None,None,None
8223,shoes,sneakers & athletic shoes,None,mens
8224,sports & outdoors,team shop,team accessories,None
8225,sports & outdoors,team shop,team accessories,unisex
8226,sports & outdoors,team shop,team accessories,None
8228,,None,None,unisex
8229,clothing,pants,None,womens
8230,,None,None,None
8232,sports & outdoors,team shop,team clothing,unisex
8233,,None,None,mens
8234,,None,None,unisex
8235,home & pet,school & office,supplies,None
8236,clothing,tops,None,womens
8237,sports & outdoors,team shop,team clothing,unisex
8238,,None,None,None
8239,sports & outdoors,team shop,team clothing,unisex
8240,sports & outdoors,team shop,team home & pet,None
8241,sports & outdoors,team shop,team accessories,unisex
8242,sports & outdoors,team shop,team clothing,unisex
8243,,None,None,None
8244,clothing,pants,casual pants,womens
8245,sports & outdoors,team shop,team accessories,unisex
8246,sports & outdoors,team shop,team clothing,unisex
8247,clothing,sweaters,None,mens
8248,shoes,None,None,mens
8249,clothing,denim,None,mens
8250,health & beauty,beauty,skin care,None
8251,,None,None,None
8252,sports & outdoors,team shop,team accessories,unisex
8253,kids & baby,baby,baby clothes,baby girls
8254,,None,None,None
8255,sports & outdoors,team shop,team clothing,unisex
8256,kids & baby,baby,baby clothes,baby & toddler
8257,sports & outdoors,team shop,team clothing,unisex
8258,sports & outdoors,team shop,team clothing,unisex
8259,sports & outdoors,team shop,team clothing,unisex
8262,kids & baby,girls clothing,girls shirts & tops,girls
8263,sports & outdoors,team shop,None,unisex
8264,clothing,tops,sweatshirts,mens
8265,shoes,flats,None,womens
8266,kids & baby,girls clothing,girls sweaters,baby & toddler
8267,accessories,jewelry,earrings,unisex
8268,clothing,tops,None,mens
8269,,None,None,None
8270,sports & outdoors,team shop,team accessories,unisex
8271,,None,None,unisex
8272,,None,None,mens
8273,accessories,luggage & bags,backpacks,unisex
8275,clothing,underwear & intimates,bras,womens
8277,sports & outdoors,team shop,team clothing,unisex
8278,clothing,denim,None,womens
8279,clothing,tops,None,womens
8280,clothing,outerwear,None,mens
8281,clothing,tops,dress shirts,mens
8282,clothing,dresses,None,womens
8283,clothing,swimwear,swim & board shorts,mens
8284,shoes,boots,ankle boots,womens
8285,sports & outdoors,team shop,team accessories,unisex
8287,sports & outdoors,team shop,team clothing,None
8288,,None,None,None
8289,,None,None,unisex
8290,accessories,jewelry,rings,unisex
8291,sports & outdoors,team shop,None,unisex
8292,sports & outdoors,team shop,team clothing,unisex
8293,home & pet,party supplies & seasonal,holiday,None
8294,accessories,watches,None,mens
8295,accessories,jewelry,earrings,unisex
8297,sports & outdoors,team shop,team clothing,unisex
8298,,None,None,unisex
8299,sports & outdoors,team shop,team clothing,unisex
8302,sports & outdoors,team shop,team clothing,unisex
8303,,None,None,None
8304,accessories,jewelry,rings,womens
8305,clothing,outerwear,blazers,womens
8306,shoes,sneakers & athletic shoes,None,mens
8307,sports & outdoors,team shop,team clothing,unisex
8309,sports & outdoors,team shop,team clothing,unisex
8310,,None,None,unisex
8311,sports & outdoors,team shop,team clothing,unisex
8312,clothing,tops,None,plus size
8313,sports & outdoors,team shop,team clothing,unisex
8315,,None,None,unisex
8316,kids & baby,girls clothing,None,baby & toddler
8317,clothing,dresses,None,womens
8318,clothing,denim,straight leg,mens
8319,clothing,pants,None,mens
8320,sports & outdoors,team shop,team clothing,unisex
8321,sports & outdoors,team shop,team clothing,None
8322,clothing,activewear,active pants,womens
8323,sports & outdoors,team shop,team clothing,None
8324,,None,None,None
8325,sports & outdoors,team shop,team clothing,None
8326,sports & outdoors,team shop,team accessories,unisex
8327,,None,None,unisex
8328,sports & outdoors,team shop,team clothing,unisex
8329,sports & outdoors,team shop,None,None
8330,sports & outdoors,team shop,team clothing,unisex
8331,accessories,watches,None,mens
8332,kids & baby,girls clothing,girls dresses,girls
8333,sports & outdoors,team shop,team clothing,unisex
8334,,None,None,None
8335,sports & outdoors,team shop,team clothing,unisex
8336,sports & outdoors,team shop,team clothing,None
8337,sports & outdoors,team shop,team clothing,None
8339,,None,None,None
8342,sports & outdoors,team shop,team clothing,None
8343,shoes,None,None,womens
8344,,None,None,unisex
8345,sports & outdoors,team shop,team clothing,unisex
8346,sports & outdoors,team shop,team accessories,unisex
8347,sports & outdoors,team shop,team clothing,unisex
8348,accessories,handbags,tote handbags,unisex
8349,,None,None,unisex
8351,,None,None,None
8353,sports & outdoors,team shop,team clothing,unisex
8354,clothing,sleepwear & loungewear,robes,womens
8355,,None,None,unisex
8356,sports & outdoors,team shop,team clothing,unisex
8357,,None,None,unisex
8358,,None,None,unisex
8359,shoes,sandals,None,womens
8360,kids & baby,girls clothing,None,girls
8361,sports & outdoors,team shop,None,unisex
8362,accessories,socks & hosiery,socks,womens
8363,,None,None,unisex
8365,clothing,tops,polo shirts,mens
8366,accessories,handbags,crossbody bags,unisex
8367,shoes,slippers,None,None
8368,shoes,sneakers & athletic shoes,None,womens
8369,sports & outdoors,team shop,team accessories,unisex
8370,sports & outdoors,team shop,team clothing,unisex
8372,sports & outdoors,team shop,None,None
8373,clothing,dresses,None,womens
8374,sports & outdoors,team shop,team accessories,unisex
8375,sports & outdoors,team shop,team clothing,unisex
8376,electronics,electronics accessories,None,None
8377,sports & outdoors,team shop,team clothing,unisex
8378,,None,None,None
8379,sports & outdoors,team shop,team clothing,unisex
8380,sports & outdoors,team shop,team clothing,unisex
8381,sports & outdoors,team shop,team clothing,unisex
8382,shoes,boots,None,womens
8383,clothing,dresses,day dresses,womens
8384,sports & outdoors,team shop,team accessories,unisex
8385,shoes,sandals,None,womens
8386,shoes,None,None,baby & toddler
8387,clothing,skirts,None,womens
8388,clothing,pants,None,womens
8389,sports & outdoors,team shop,team clothing,None
8390,,None,None,unisex
8391,clothing,tops,None,womens
8392,,None,None,unisex
8393,clothing,outerwear,None,mens
8394,shoes,None,None,mens
8395,home & pet,pet,fish,unisex
8396,sports & outdoors,team shop,team shoes,unisex
8397,sports & outdoors,team shop,team clothing,None
8398,sports & outdoors,team shop,team clothing,unisex
8399,clothing,activewear,active pants,mens
8400,clothing,tops,None,womens
8401,sports & outdoors,team shop,team clothing,unisex
8403,sports & outdoors,team shop,team clothing,unisex
8405,sports & outdoors,team shop,team clothing,unisex
8406,accessories,handbags,None,womens
8407,sports & outdoors,team shop,team clothing,unisex
8408,sports & outdoors,team shop,team clothing,unisex
8409,clothing,sleepwear & loungewear,loungewear,womens
8410,sports & outdoors,team shop,team accessories,None
8413,shoes,None,None,womens
8414,sports & outdoors,team shop,team clothing,unisex
8415,,None,None,None
8416,clothing,sleepwear & loungewear,None,womens
8417,sports & outdoors,team shop,team accessories,unisex
8418,sports & outdoors,team shop,team clothing,unisex
8419,sports & outdoors,team shop,team accessories,unisex
8420,sports & outdoors,team shop,team clothing,unisex
8421,sports & outdoors,team shop,team kids & baby,kids
8422,,None,None,None
8423,sports & outdoors,team shop,team clothing,unisex
8424,sports & outdoors,team shop,team clothing,unisex
8425,clothing,activewear,active shorts,womens
8426,clothing,sweaters,None,plus size
8428,shoes,pumps,None,womens
8429,sports & outdoors,team shop,team clothing,unisex
8431,sports & outdoors,team shop,team clothing,None
8432,clothing,tops,dress shirts,mens
8433,clothing,underwear & intimates,None,womens
8434,sports & outdoors,team shop,None,mens
8435,accessories,jewelry,rings,unisex
8436,electronics,computer parts & hardware,memory,None
8437,,None,None,None
8438,,None,None,None
8439,clothing,outerwear,None,womens
8440,sports & outdoors,team shop,team clothing,unisex
8442,shoes,None,None,womens
8444,kids & baby,boys clothing,boys swimwear,boys
8445,kids & baby,boys clothing,boys suits & separates,baby & toddler
8446,shoes,loafers,None,mens
8447,sports & outdoors,team shop,team clothing,unisex
8449,accessories,luggage & bags,luggage,unisex
8450,accessories,jewelry,earrings,womens
8451,shoes,None,None,baby & toddler
8453,,None,None,None
8454,clothing,tops,blouses,womens
8455,accessories,gloves & mittens,gloves,womens
8456,shoes,None,None,mens
8457,sports & outdoors,team shop,team clothing,None
8458,,None,None,unisex
8459,sports & outdoors,team shop,team clothing,unisex
8460,clothing,dresses,None,womens
8461,clothing,tops,None,womens
8462,sports & outdoors,team shop,team clothing,None
8463,sports & outdoors,team shop,team clothing,unisex
8464,sports & outdoors,team shop,team clothing,unisex
8465,sports & outdoors,team shop,team clothing,unisex
8466,accessories,jewelry,bracelets,unisex
8467,clothing,dresses,None,womens
8468,sports & outdoors,team shop,team accessories,unisex
8469,,None,None,unisex
8470,accessories,luggage & bags,business bags,None
8471,sports & outdoors,team shop,team clothing,None
8472,clothing,sleepwear & loungewear,pajamas,womens
8473,,None,None,None
8474,accessories,socks & hosiery,hosiery,unisex
8475,clothing,tops,blouses,womens
8476,sports & outdoors,team shop,team clothing,unisex
8477,clothing,tops,None,mens
8478,sports & outdoors,team shop,team clothing,None
8479,clothing,outerwear,None,mens
8480,shoes,None,None,mens
8481,clothing,dresses,cocktail dresses,womens
8482,,None,None,unisex
8483,,None,None,unisex
8484,sports & outdoors,team shop,None,unisex
8485,sports & outdoors,team shop,team accessories,unisex
8486,clothing,tops,t-shirts,mens
8487,sports & outdoors,team shop,team clothing,unisex
8488,clothing,tops,None,womens
8489,clothing,tops,None,womens
8490,sports & outdoors,team shop,team accessories,unisex
8491,clothing,outerwear,None,womens
8493,sports & outdoors,team shop,None,unisex
8494,clothing,shorts,None,mens
8496,sports & outdoors,team shop,team clothing,unisex
8497,sports & outdoors,team shop,None,unisex
8498,,None,None,womens
8500,clothing,tops,None,plus size
8501,sports & outdoors,team shop,team clothing,None
8502,accessories,luggage & bags,luggage,unisex
8503,,None,None,None
8504,sports & outdoors,team shop,team clothing,unisex
8505,,None,None,None
8506,sports & outdoors,team shop,team clothing,unisex
8507,,None,None,None
8508,sports & outdoors,team shop,team clothing,unisex
8509,shoes,sandals,None,womens
8510,,None,None,None
8511,sports & outdoors,team shop,team clothing,unisex
8512,,None,None,None
8513,sports & outdoors,team shop,team clothing,unisex
8514,,None,None,None
8515,sports & outdoors,team shop,team clothing,None
8516,sports & outdoors,team shop,team clothing,unisex
8517,kids & baby,girls clothing,"girls pants, skirts & shorts",girls
8519,sports & outdoors,team shop,team clothing,unisex
8520,sports & outdoors,team shop,team clothing,unisex
8521,sports & outdoors,team shop,team clothing,unisex
8522,,None,None,None
8523,clothing,activewear,active pants,mens
8525,sports & outdoors,team shop,team kids & baby,baby & toddler
8526,sports & outdoors,team shop,team clothing,unisex
8527,,None,None,None
8528,shoes,None,None,womens
8530,sports & outdoors,team shop,team home & pet,None
8531,sports & outdoors,team shop,team clothing,unisex
8532,accessories,jewelry,necklaces,None
8533,sports & outdoors,team shop,team accessories,unisex
8534,shoes,boots,None,womens
8535,clothing,sweaters,pullovers,mens
8536,accessories,sunglasses,None,mens
8537,accessories,wallets & money clips,wallets,unisex
8538,sports & outdoors,team shop,team accessories,unisex
8539,sports & outdoors,team shop,team clothing,unisex
8541,sports & outdoors,team shop,team accessories,None
8542,shoes,pumps,None,womens
8543,sports & outdoors,team shop,team clothing,unisex
8544,clothing,dresses,cocktail dresses,womens
8545,clothing,tops,dress shirts,mens
8546,sports & outdoors,team shop,team clothing,unisex
8547,clothing,suits,None,mens
8548,clothing,tops,None,womens
8549,sports & outdoors,team shop,team clothing,unisex
8550,clothing,pants,None,womens
8551,shoes,loafers,None,mens
8553,clothing,tops,blouses,womens
8554,,None,None,unisex
8555,,None,None,None
8556,clothing,skirts,None,womens
8557,,None,None,None
8558,clothing,tops,None,womens
8559,sports & outdoors,team shop,team clothing,unisex
8560,clothing,tops,None,womens
8561,shoes,None,None,womens
8562,,None,None,None
8563,sports & outdoors,team shop,team clothing,unisex
8564,clothing,dresses,cocktail dresses,plus size
8565,sports & outdoors,team shop,team clothing,None
8566,,None,None,unisex
8567,,None,None,unisex
8568,sports & outdoors,team shop,team clothing,unisex
8569,clothing,tops,polo shirts,mens
8570,,None,None,None
8571,sports & outdoors,team shop,team accessories,unisex
8572,sports & outdoors,team shop,team shoes,unisex
8573,sports & outdoors,team shop,team clothing,unisex
8574,sports & outdoors,team shop,team clothing,unisex
8575,sports & outdoors,team shop,team clothing,unisex
8576,clothing,tops,None,womens
8577,,None,None,None
